"Manufacturing Wizard","معالج التصنيع"
"Transfer Raw Materials to Floor","صرف ونقل الخامات لصالة الإنتاج"
"Complete & Receive Finished Goods","إتمام التصنيع واستلام المنتج التام"
"New Quality Inspection","فحص جودة جديد"
"Refresh Status","تحديث الحالة"
"In Process","قيد التشغيل"
"Not Started","لم يبدأ بعد"
"Completed","مكتمل"
"Stopped","متوقف"
"Manufacturing Operations","عمليات التصنيع"
"Quick Operations","العمليات السريعة"
"Masters & Execution","البيانات الأساسية والتنفيذ"
"New Manufacturing Wizard","معالج تصنيع جديد"
"Shop Floor & Execution","صالة الإنتاج والتنفيذ الميداني"
"Manufacturing Masters","سجلات وبيانات التصنيع"
"Explore Manufacturing Wizard","استكشاف معالج التصنيع"
"Start Manufacturing Wizard","فتح معالج التصنيع"
"Manufacturing Onboarding & Wizard Guide","الدليل الإرشادي ونظام التهيئة للتصنيع"
"Interactive operational wizard and costing guidance","معالج تشغيلي تفاعلي ودليل حساب التكاليف"
"You are ready to manage manufacturing cycles efficiently!","أنت الآن جاهز لإدارة دورات التصنيع بكفاءة تامة!"
"Please specify the Finished Item before launching.","يرجى تحديد الصنف التام قبل الإطلاق."
"At least one Raw Material item is required.","يجب إضافة صنف واحد على الأقل من المواد الخام."
"BOM and Work Order created and submitted successfully.","تم إنشاء واعتماد قائمة المواد وأمر الإنتاج بنجاح."
"Please select a valid BOM.","يرجى اختيار قائمة مواد صحيحة."
"Please select an existing BOM to update.","يرجى اختيار قائمة مواد سابقة للتعديل."
"New revision of BOM {0} created and submitted as default.","تم إنشاء واعتماد نسخة جديدة من قائمة المواد {0} كافتراضية."
"Please select a Work Order.","يرجى اختيار أمر إنتاج."
"Work Order name is required.","اسم أمر الإنتاج مطلوب."
"Draft Material Transfer Stock Entry {0} created.","تم إنشاء مسودة سند صرف الخامات {0}."
"Draft Manufacture Stock Entry {0} created.","تم إنشاء مسودة سند استلام الإنتاج التام {0}."
"Draft Quality Inspection {0} created.","تم إنشاء مسودة فحص الجودة {0}."
"Invalid action type.","نوع الإجراء غير صالح."
